[2024-06-04T16:06:25.684+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-04T16:06:25.731+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: trigger_dag_id.task_troup.dag_1_task_sensor manual__2024-06-04T16:06:16.024276+00:00 [queued]>
[2024-06-04T16:06:25.745+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: trigger_dag_id.task_troup.dag_1_task_sensor manual__2024-06-04T16:06:16.024276+00:00 [queued]>
[2024-06-04T16:06:25.745+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-06-04T16:06:25.789+0000] {taskinstance.py:2330} INFO - Executing <Task(ExternalTaskSensor): task_troup.dag_1_task_sensor> on 2024-06-04 16:06:16.024276+00:00
[2024-06-04T16:06:25.804+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=70) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-04T16:06:25.808+0000] {standard_task_runner.py:63} INFO - Started process 73 to run task
[2024-06-04T16:06:25.811+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'trigger_dag_id', 'task_troup.dag_1_task_sensor', 'manual__2024-06-04T16:06:16.024276+00:00', '--job-id', '112', '--raw', '--subdir', 'DAGS_FOLDER/trigger_dag.py', '--cfg-path', '/tmp/tmp_elaps5q']
[2024-06-04T16:06:25.815+0000] {standard_task_runner.py:91} INFO - Job 112: Subtask task_troup.dag_1_task_sensor
[2024-06-04T16:06:25.873+0000] {task_command.py:426} INFO - Running <TaskInstance: trigger_dag_id.task_troup.dag_1_task_sensor manual__2024-06-04T16:06:16.024276+00:00 [running]> on host bfd73b4e3b6f
[2024-06-04T16:06:26.082+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='trigger_dag_id' AIRFLOW_CTX_TASK_ID='task_troup.dag_1_task_sensor' AIRFLOW_CTX_EXECUTION_DATE='2024-06-04T16:06:16.024276+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-04T16:06:16.024276+00:00'
[2024-06-04T16:06:26.088+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-04T16:06:26.089+0000] {baseoperator.py:399} WARNING - ExternalTaskSensor.execute cannot be called outside TaskInstance!
[2024-06-04T16:06:26.090+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:06:26.092+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/utils/session.py:79: DeprecationWarning: This method is deprecated and will be removed in future.
  return func(*args, session=session, **kwargs)

[2024-06-04T16:07:26.109+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:08:26.128+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:09:26.143+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:10:26.158+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:11:26.176+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:12:26.287+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:13:26.323+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:15:02.472+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:16:02.817+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:18:17.219+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:34:59.678+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:52:56.940+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:56:30.092+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:57:31.376+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T16:58:31.419+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
